1;DriveDown;2018-09-05 15:05:01.0
2;DriveDown;2018-09-05 15:05:02.0
3;DriveDown;2018-09-05 15:05:03.0
3;PickUp;2018-09-05 15:05:06.0
3;PickUp;2018-09-05 15:05:07.0
3;PickUp;2018-09-05 15:05:08.0
3;PickUp;2018-09-05 15:05:09.0
3;PickUp;2018-09-05 15:05:10.0
3;PickUp;2018-09-05 15:05:11.0
4;DriveDown;2018-09-05 15:05:59.0
5;DriveDown;2018-09-05 15:06:00.0
5;PickUp;2018-09-05 15:06:03.0
5;PickUp;2018-09-05 15:06:04.0
5;PickUp;2018-09-05 15:06:05.0
6;DriveDown;2018-09-05 15:06:55.0
7;DriveDown;2018-09-05 15:06:56.0
8;DriveDown;2018-09-05 15:06:57.0
8;PickUp;2018-09-05 15:07:00.0
8;PickUp;2018-09-05 15:07:01.0
8;PickUp;2018-09-05 15:07:02.0
8;PickUp;2018-09-05 15:07:03.0
8;PickUp;2018-09-05 15:07:04.0
